DATE,TIME,WSPD,WD,GST,ATMP,WTMP,BARO,DEPTH,AWVHT,MWVHT,WVHT,APD
21/07/2011,02:20,04.9,340,08.7,13.3,00.0,1010.0,3.96,0.00,0.00,0.00,0.0
21/07/2011,02:25,05.3,351,06.8,13.4,00.0,1010.0,4.03,0.00,0.00,0.00,0.0
21/07/2011,02:30,05.1,331,06.5,13.4,00.0,1010.0,4.07,0.00,0.00,0.00,0.0
21/07/2011,02:35,05.4,352,06.5,13.4,00.0,1010.0,4.11,0.00,0.00,0.00,0.0
21/07/2011,02:40,04.7,003,06.1,13.4,00.0,1010.0,4.15,0.00,0.00,0.00,0.0
21/07/2011,02:45,04.5,005,07.8,13.4,00.0,1010.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,02:50,07.5,356,09.0,13.4,00.0,1010.0,4.21,0.00,0.00,0.00,0.0
21/07/2011,02:55,07.3,359,08.6,13.5,00.0,1010.0,4.21,0.00,0.00,0.00,0.0
21/07/2011,03:00,07.3,360,09.8,13.5,00.0,1010.0,4.23,0.00,0.00,0.00,0.0
21/07/2011,03:05,07.3,359,09.2,13.5,00.0,1010.0,4.23,0.00,0.00,0.00,0.0
21/07/2011,03:10,07.2,357,09.9,13.5,00.0,1010.0,4.23,0.00,0.00,0.00,0.0
21/07/2011,03:15,07.6,356,08.8,13.5,00.0,1010.0,4.22,0.00,0.00,0.00,0.0
21/07/2011,03:20,08.3,353,11.7,13.5,00.0,1010.0,4.22,0.00,0.00,0.00,0.0
21/07/2011,03:25,07.9,349,09.7,13.5,00.0,1010.0,4.20,0.00,0.00,0.00,0.0
21/07/2011,03:30,07.4,356,09.4,13.5,00.0,1010.0,4.18,0.00,0.00,0.00,0.0
21/07/2011,03:35,08.1,360,10.5,13.6,00.0,1010.0,4.16,0.00,0.00,0.00,0.0
21/07/2011,03:40,07.7,357,10.1,13.6,00.0,1010.0,4.14,0.00,0.00,0.00,0.0
21/07/2011,03:45,08.3,360,10.0,13.6,00.0,1010.0,4.12,0.00,0.00,0.00,0.0
21/07/2011,03:50,07.8,358,09.5,13.6,00.0,1010.0,4.12,0.00,0.00,0.00,0.0
21/07/2011,03:55,08.2,359,09.7,13.6,00.0,1010.0,4.10,0.00,0.00,0.00,0.0
21/07/2011,04:00,07.8,355,07.7,13.6,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:05,06.6,356,06.7,13.6,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:10,05.7,351,05.5,13.6,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:15,04.5,349,07.6,13.7,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:20,06.1,355,08.6,13.6,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:25,06.1,338,06.9,13.6,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:30,04.8,329,05.4,13.7,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:35,06.2,330,07.3,13.7,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:40,06.5,328,07.5,13.6,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:45,06.6,327,07.5,13.6,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:50,07.6,327,08.0,13.4,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,04:55,06.7,323,06.9,13.5,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,05:00,06.9,324,07.1,13.4,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,05:05,07.5,313,08.8,13.5,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,05:10,08.9,314,09.6,13.4,00.0,1010.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,05:15,09.5,314,10.6,13.2,00.0,1010.0,4.06,0.00,0.00,0.00,0.0
21/07/2011,05:20,09.8,317,10.7,13.1,00.0,1010.0,4.06,0.00,0.00,0.00,0.0
21/07/2011,05:25,09.2,324,09.6,13.1,00.0,1010.0,4.04,0.00,0.00,0.00,0.0
21/07/2011,05:30,09.1,323,12.1,13.3,00.0,1010.0,4.02,0.00,0.00,0.00,0.0
21/07/2011,05:35,09.4,320,10.3,13.3,00.0,1010.0,4.01,0.00,0.00,0.00,0.0
21/07/2011,05:40,08.7,329,10.7,13.2,00.0,1010.0,3.98,0.00,0.00,0.00,0.0
21/07/2011,05:45,08.0,341,09.2,13.1,00.0,1010.0,3.98,0.00,0.00,0.00,0.0
21/07/2011,05:50,07.9,342,08.6,13.1,00.0,1010.0,3.94,0.00,0.00,0.00,0.0
21/07/2011,05:55,07.4,322,09.0,13.2,00.0,1010.2,3.92,0.00,0.00,0.00,0.0
21/07/2011,06:00,08.2,327,09.4,13.2,00.0,1010.0,3.88,0.00,0.00,0.00,0.0
21/07/2011,06:05,07.8,331,09.6,13.3,00.0,1010.0,3.86,0.00,0.00,0.00,0.0
21/07/2011,06:10,09.1,338,10.5,13.2,00.0,1010.0,3.82,0.00,0.00,0.00,0.0
21/07/2011,06:15,07.5,331,07.9,13.3,00.0,1011.0,3.78,0.00,0.00,0.00,0.0
21/07/2011,06:20,07.7,321,09.5,13.2,00.0,1011.0,3.73,0.00,0.00,0.00,0.0
21/07/2011,06:25,08.1,332,09.6,13.2,00.0,1011.0,3.67,0.00,0.00,0.00,0.0
21/07/2011,06:30,06.9,346,09.5,13.1,00.0,1011.0,3.60,0.00,0.00,0.00,0.0
21/07/2011,06:35,07.9,329,11.0,13.3,00.0,1011.0,3.53,0.00,0.00,0.00,0.0
21/07/2011,06:40,08.7,319,09.1,13.3,00.0,1011.0,3.45,0.00,0.00,0.00,0.0
21/07/2011,06:45,08.0,331,09.9,13.2,00.0,1011.0,3.37,0.00,0.00,0.00,0.0
21/07/2011,06:50,09.3,339,10.7,13.1,00.0,1011.0,3.27,0.00,0.00,0.00,0.0
21/07/2011,06:55,09.4,338,11.5,13.1,00.0,1011.0,3.19,0.00,0.00,0.00,0.0
21/07/2011,07:00,08.3,345,10.2,13.1,00.0,1011.0,3.07,0.00,0.00,0.00,0.0
21/07/2011,07:05,09.1,344,11.1,13.3,00.0,1011.0,2.94,0.00,0.00,0.00,0.0
21/07/2011,07:10,08.8,346,10.2,13.3,00.0,1011.0,2.83,0.00,0.00,0.00,0.0
21/07/2011,07:15,08.2,346,09.0,13.3,00.0,1011.0,2.72,0.00,0.00,0.00,0.0
21/07/2011,07:20,07.4,345,08.8,13.4,00.0,1011.0,2.60,0.00,0.00,0.00,0.0
21/07/2011,07:25,07.3,351,08.5,13.4,00.0,1011.0,2.48,0.00,0.00,0.00,0.0
21/07/2011,07:30,06.3,000,08.4,13.5,00.0,1011.0,2.37,0.00,0.00,0.00,0.0
21/07/2011,07:35,05.1,344,07.3,13.5,00.0,1011.0,2.24,0.00,0.00,0.00,0.0
21/07/2011,07:40,05.6,339,07.8,13.6,00.0,1011.0,2.13,0.00,0.00,0.00,0.0
21/07/2011,07:45,06.9,338,08.6,13.7,00.0,1011.0,2.02,0.00,0.00,0.00,0.0
21/07/2011,07:50,06.5,338,08.9,13.6,00.0,1011.0,1.91,0.00,0.00,0.00,0.0
21/07/2011,07:55,06.3,339,08.5,13.8,00.0,1011.0,1.81,0.00,0.00,0.00,0.0
21/07/2011,08:00,06.0,343,07.6,13.8,00.0,1011.0,1.72,0.00,0.00,0.00,0.0
21/07/2011,08:05,05.6,005,04.9,13.8,00.0,1011.0,1.63,0.00,0.00,0.00,0.0
21/07/2011,08:10,04.8,350,06.8,13.9,00.0,1012.0,1.54,0.00,0.00,0.00,0.0
21/07/2011,08:15,07.4,357,09.3,13.9,00.0,1012.0,1.49,0.00,0.00,0.00,0.0
21/07/2011,08:20,06.8,349,08.5,13.9,00.0,1012.0,1.42,0.00,0.00,0.00,0.0
21/07/2011,08:25,06.3,346,07.1,13.9,00.0,1012.0,1.38,0.00,0.00,0.00,0.0
21/07/2011,08:30,,346,07.1,13.9,00.0,1012.0,1.38,0.00,,0.00,0.0
21/07/2011,08:35,05.8,338,07.0,00.0,00.0,.0,1.28,0.00,0.00,0.00,0.0
21/07/2011,08:40,05.6,336,07.3,00.0,00.0,.0,1.26,0.00,0.00,0.00,0.0
21/07/2011,08:45,06.7,346,06.8,14.1,00.0,1012.0,1.23,0.00,0.00,0.00,0.0
21/07/2011,08:50,07.3,341,07.2,14.1,00.0,1012.0,1.22,0.00,0.00,0.00,0.0
21/07/2011,08:55,06.2,343,08.0,14.1,00.0,1012.0,1.22,0.00,0.00,0.00,0.0
21/07/2011,09:00,06.2,354,07.8,14.2,00.0,1012.0,1.23,0.00,0.00,0.00,0.0
21/07/2011,09:05,06.0,343,07.9,14.3,00.0,1012.0,1.25,0.00,0.00,0.00,0.0
21/07/2011,09:10,07.1,331,07.7,14.3,00.0,1012.0,1.28,0.00,0.00,0.00,0.0
21/07/2011,09:15,07.4,332,08.3,14.4,00.0,1012.0,1.31,0.00,0.00,0.00,0.0
21/07/2011,09:20,05.8,345,07.8,14.5,00.0,1012.0,1.35,0.00,0.00,0.00,0.0
21/07/2011,09:25,06.7,337,08.6,14.6,00.0,1012.0,1.39,0.00,0.00,0.00,0.0
21/07/2011,09:30,06.8,344,08.3,14.6,00.0,1012.0,1.45,0.00,0.00,0.00,0.0
21/07/2011,09:35,08.2,339,09.1,14.6,00.0,1012.0,1.50,0.00,0.00,0.00,0.0
21/07/2011,09:40,07.0,001,06.2,14.7,00.0,1012.0,1.55,0.00,0.00,0.00,0.0
21/07/2011,09:45,07.2,339,11.8,14.6,00.0,1012.0,1.61,0.00,0.00,0.00,0.0
21/07/2011,09:50,07.2,338,08.0,14.8,00.0,1012.0,1.68,0.00,0.00,0.00,0.0
21/07/2011,09:55,06.6,343,08.6,14.8,00.0,1012.0,1.73,0.00,0.00,0.00,0.0
21/07/2011,10:00,04.8,351,05.4,15.0,00.0,1012.0,1.81,0.00,0.00,0.00,0.0
21/07/2011,10:05,05.8,356,06.5,15.0,00.0,1012.0,1.86,0.00,0.00,0.00,0.0
21/07/2011,10:10,05.1,002,06.7,15.1,00.0,1012.0,1.91,0.00,0.00,0.00,0.0
21/07/2011,10:15,04.9,010,06.4,15.2,00.0,1012.0,1.96,0.00,0.00,0.00,0.0
21/07/2011,10:20,06.8,354,10.1,15.3,00.0,1012.0,2.00,0.00,0.00,0.00,0.0
21/07/2011,10:25,07.6,002,08.0,15.4,00.0,1012.0,2.04,0.00,0.00,0.00,0.0
21/07/2011,10:30,04.1,021,06.2,15.7,00.0,1012.0,2.07,0.00,0.00,0.00,0.0
21/07/2011,10:35,04.8,353,06.7,15.9,00.0,1012.0,2.10,0.00,0.00,0.00,0.0
21/07/2011,10:40,06.0,011,07.8,16.1,00.0,1012.0,2.14,0.00,0.00,0.00,0.0
21/07/2011,10:45,05.9,005,05.9,16.1,00.0,1012.0,2.16,0.00,0.00,0.00,0.0
21/07/2011,10:50,06.2,001,08.6,16.4,00.0,1012.0,2.18,0.00,0.00,0.00,0.0
21/07/2011,10:55,06.8,008,09.1,16.5,00.0,1012.0,2.20,0.00,0.00,0.00,0.0
21/07/2011,11:00,07.3,008,09.3,16.6,00.0,1012.0,2.22,0.00,0.00,0.00,0.0
21/07/2011,11:05,08.1,009,09.5,16.7,00.0,1012.0,2.24,0.00,0.00,0.00,0.0
21/07/2011,11:10,07.2,352,09.6,16.8,00.0,1012.0,2.24,0.00,0.00,0.00,0.0
21/07/2011,11:15,08.4,011,08.8,16.9,00.0,1012.0,2.27,0.00,0.00,0.00,0.0
21/07/2011,11:20,08.7,000,09.1,16.9,00.0,1012.0,2.27,0.00,0.00,0.00,0.0
21/07/2011,11:25,08.3,358,09.3,17.1,00.0,1012.0,2.29,0.00,0.00,0.00,0.0
21/07/2011,11:30,07.9,000,10.0,17.2,00.0,1012.0,2.31,0.00,0.00,0.00,0.0
21/07/2011,11:35,08.6,354,10.7,17.2,00.0,1012.0,2.33,0.00,0.00,0.00,0.0
21/07/2011,11:40,07.9,358,11.3,17.4,00.0,1012.0,2.34,0.00,0.00,0.00,0.0
21/07/2011,11:45,08.5,357,09.0,17.3,00.0,1012.0,2.35,0.00,0.00,0.00,0.0
21/07/2011,11:50,07.1,008,06.9,17.5,00.0,1012.0,2.37,0.00,0.00,0.00,0.0
21/07/2011,11:55,08.2,356,07.6,17.5,00.0,1012.0,2.37,0.00,0.00,0.00,0.0
21/07/2011,12:00,06.2,351,08.8,17.8,00.0,1012.0,2.39,0.00,0.00,0.00,0.0
21/07/2011,12:05,10.2,012,12.4,17.6,00.0,1012.0,2.39,0.00,0.00,0.00,0.0
21/07/2011,12:10,10.3,014,11.1,17.7,00.0,1012.0,2.41,0.00,0.00,0.00,0.0
21/07/2011,12:15,11.4,008,13.8,17.8,00.0,1012.0,2.41,0.00,0.00,0.00,0.0
21/07/2011,12:20,10.6,014,12.4,18.0,00.0,1012.0,2.43,0.00,0.00,0.00,0.0
21/07/2011,12:25,10.1,000,15.3,18.1,00.0,1012.0,2.43,0.00,0.00,0.00,0.0
21/07/2011,12:30,11.2,360,13.2,18.2,00.0,1012.0,2.43,0.00,0.00,0.00,0.0
21/07/2011,12:35,11.4,359,13.5,18.5,00.0,1012.0,2.45,0.00,0.00,0.00,0.0
21/07/2011,12:40,11.1,359,10.8,18.4,00.0,1012.0,2.45,0.00,0.00,0.00,0.0
21/07/2011,12:45,10.4,012,10.5,18.7,00.0,1012.0,2.47,0.00,0.00,0.00,0.0
21/07/2011,12:50,09.6,358,11.4,18.7,00.0,1012.0,2.49,0.00,0.00,0.00,0.0
21/07/2011,12:55,10.0,021,12.8,18.7,00.0,1012.0,2.52,0.00,0.00,0.00,0.0
21/07/2011,13:00,10.1,013,13.2,18.9,00.0,1013.0,2.55,0.00,0.00,0.00,0.0
21/07/2011,13:05,11.1,027,11.0,18.8,00.0,1012.9,2.60,0.00,0.00,0.00,0.0
21/07/2011,13:10,10.9,019,12.5,18.6,00.0,1013.0,2.64,0.00,0.00,0.00,0.0
21/07/2011,13:15,10.9,025,12.2,18.6,00.0,1013.0,2.70,0.00,0.00,0.00,0.0
21/07/2011,13:20,11.0,007,11.9,18.5,00.0,1013.0,2.75,0.00,0.00,0.00,0.0
21/07/2011,13:25,09.0,018,10.3,18.5,00.0,1013.0,2.81,0.00,0.00,0.00,0.0
21/07/2011,13:30,09.6,360,10.7,18.3,00.0,1013.0,2.88,0.00,0.00,0.00,0.0
21/07/2011,13:35,08.8,002,10.3,18.2,00.0,1013.0,2.95,0.00,0.00,0.00,0.0
21/07/2011,13:40,08.4,014,10.0,18.5,00.0,1013.0,3.04,0.00,0.00,0.00,0.0
21/07/2011,13:45,08.3,021,08.6,18.4,00.0,1013.0,3.11,0.00,0.00,0.00,0.0
21/07/2011,13:50,09.1,008,11.5,18.5,00.0,1013.0,3.20,0.00,0.00,0.00,0.0
21/07/2011,13:55,08.9,015,10.1,18.5,00.0,1013.0,3.27,0.00,0.00,0.00,0.0
21/07/2011,14:00,09.6,016,10.7,18.4,00.0,1013.0,3.36,0.00,0.00,0.00,0.0
21/07/2011,14:05,09.7,009,09.1,18.3,00.0,1013.0,3.44,0.00,0.00,0.00,0.0
21/07/2011,14:10,07.6,024,09.0,18.8,00.0,1013.0,3.53,0.00,0.00,0.00,0.0
21/07/2011,14:15,08.3,027,08.9,18.7,00.0,1013.0,3.60,0.00,0.00,0.00,0.0
21/07/2011,14:20,06.5,015,06.7,18.6,00.0,1013.0,3.67,0.00,0.00,0.00,0.0
21/07/2011,14:25,07.9,357,08.1,18.4,00.0,1013.0,3.74,0.00,0.00,0.00,0.0
21/07/2011,14:30,07.4,002,08.7,18.4,00.0,1013.0,3.81,0.00,0.00,0.00,0.0
21/07/2011,14:35,08.2,034,10.2,18.5,00.0,1013.0,3.87,0.00,0.00,0.00,0.0
21/07/2011,14:40,07.7,013,09.3,18.6,00.0,1013.0,3.93,0.00,0.00,0.00,0.0
21/07/2011,14:45,08.8,016,10.2,18.4,00.0,1013.0,3.99,0.00,0.00,0.00,0.0
21/07/2011,14:50,07.1,013,08.4,18.5,00.0,1013.0,4.03,0.00,0.00,0.00,0.0
21/07/2011,14:55,06.4,003,09.1,18.4,00.0,1013.0,4.07,0.00,0.00,0.00,0.0
21/07/2011,15:00,07.4,000,07.7,18.3,00.0,1013.0,4.09,0.00,0.00,0.00,0.0
21/07/2011,15:05,07.3,358,08.3,18.2,00.0,1013.0,4.13,0.00,0.00,0.00,0.0
21/07/2011,15:10,07.0,010,07.8,18.3,00.0,1013.0,4.15,0.00,0.00,0.00,0.0
21/07/2011,15:15,06.3,022,06.0,18.5,00.0,1013.0,4.17,0.00,0.00,0.00,0.0
21/07/2011,15:20,05.2,014,05.4,18.4,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,15:25,04.3,323,06.9,18.6,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,15:30,05.8,347,08.2,18.6,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,15:35,05.8,352,07.1,18.6,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,15:40,05.7,350,07.6,18.8,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,15:45,04.3,354,04.7,19.1,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,15:50,01.8,318,05.1,19.5,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,15:55,03.0,324,03.9,19.6,00.0,1013.0,4.18,0.00,0.00,0.00,0.0
21/07/2011,16:00,02.8,288,04.2,19.7,00.0,1013.0,4.18,0.00,0.00,0.00,0.0
21/07/2011,16:05,04.1,321,05.4,19.2,00.0,1013.0,4.18,0.00,0.00,0.00,0.0
21/07/2011,16:10,02.3,093,02.2,19.7,00.0,1013.0,4.18,0.00,0.00,0.00,0.0
21/07/2011,16:15,03.8,346,06.5,19.6,00.0,1013.0,4.18,0.00,0.00,0.00,0.0
21/07/2011,16:20,05.1,002,05.2,19.5,00.0,1013.0,4.18,0.00,0.00,0.00,0.0
21/07/2011,16:25,03.8,334,05.9,19.9,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
21/07/2011,16:30,05.2,343,06.3,19.7,00.0,1013.0,4.21,0.00,0.00,0.00,0.0
21/07/2011,16:35,04.4,340,05.0,19.8,00.0,1013.0,4.21,0.00,0.00,0.00,0.0
21/07/2011,16:40,04.0,008,04.3,19.6,00.0,1013.0,4.23,0.00,0.00,0.00,0.0
21/07/2011,16:45,03.8,014,06.6,19.8,00.0,1013.0,4.23,0.00,0.00,0.00,0.0
21/07/2011,16:50,04.8,029,05.1,19.7,00.0,1013.0,4.25,0.00,0.00,0.00,0.0
21/07/2011,16:55,03.7,022,03.9,19.8,00.0,1013.0,4.25,0.00,0.00,0.00,0.0
21/07/2011,17:00,02.8,023,03.9,20.0,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
21/07/2011,17:05,05.7,003,06.8,19.6,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
21/07/2011,17:10,06.4,008,11.9,20.0,00.0,1013.0,4.28,0.00,0.00,0.00,0.0
21/07/2011,17:15,10.8,014,11.7,19.6,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
21/07/2011,17:20,09.3,008,08.7,19.5,00.0,1013.0,4.28,0.00,0.00,0.00,0.0
21/07/2011,17:25,06.9,354,08.5,19.6,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
21/07/2011,17:30,05.8,360,10.7,19.8,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
21/07/2011,17:35,09.4,356,11.1,19.5,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
21/07/2011,17:40,07.7,005,10.6,19.4,00.0,1013.0,4.25,0.00,0.00,0.00,0.0
21/07/2011,17:45,09.7,004,13.3,19.5,00.0,1013.0,4.25,0.00,0.00,0.00,0.0
21/07/2011,17:50,11.3,356,11.8,19.3,00.0,1013.0,4.22,0.00,0.00,0.00,0.0
21/07/2011,17:55,08.9,355,09.5,19.3,00.0,1013.0,4.20,0.00,0.00,0.00,0.0
21/07/2011,18:00,12.4,002,15.0,19.2,00.0,1013.0,4.18,0.00,0.00,0.00,0.0
21/07/2011,18:05,12.2,356,13.6,19.0,00.0,1013.0,4.16,0.00,0.00,0.00,0.0
21/07/2011,18:10,12.2,001,14.0,18.9,00.0,1013.0,4.14,0.00,0.00,0.00,0.0
21/07/2011,18:15,12.0,010,14.4,18.7,00.0,1013.0,4.11,0.00,0.00,0.00,0.0
21/07/2011,18:20,12.1,016,12.0,18.7,00.0,1013.0,4.08,0.00,0.00,0.00,0.0
21/07/2011,18:25,12.0,006,13.4,18.6,00.0,1013.0,4.04,0.00,0.00,0.00,0.0
21/07/2011,18:30,10.7,011,12.0,18.6,00.0,1013.0,4.00,0.00,0.00,0.00,0.0
21/07/2011,18:35,13.4,011,14.4,18.4,00.0,1013.0,3.96,0.00,0.00,0.00,0.0
21/07/2011,18:40,13.4,006,15.3,18.2,00.0,1013.0,3.90,0.00,0.00,0.00,0.0
21/07/2011,18:45,13.1,007,13.4,18.1,00.0,1013.0,3.84,0.00,0.00,0.00,0.0
21/07/2011,18:50,12.5,021,12.7,18.0,00.0,1013.0,3.78,0.00,0.00,0.00,0.0
21/07/2011,18:55,10.8,005,11.3,18.1,00.0,1013.0,3.71,0.00,0.00,0.00,0.0
21/07/2011,19:00,13.6,016,16.1,17.7,00.0,1013.0,3.63,0.00,0.00,0.00,0.0
21/07/2011,19:05,14.0,017,15.6,17.8,00.0,1013.9,3.55,0.00,0.00,0.00,0.0
21/07/2011,19:10,14.4,026,14.9,17.6,00.0,1014.0,3.44,0.00,0.00,0.00,0.0
21/07/2011,19:15,12.8,018,14.9,17.6,00.0,1014.0,3.33,0.00,0.00,0.00,0.0
21/07/2011,19:20,13.4,018,13.8,17.6,00.0,1014.0,3.23,0.00,0.00,0.00,0.0
21/07/2011,19:25,12.9,014,14.8,17.5,00.0,1014.0,3.12,0.00,0.00,0.00,0.0
21/07/2011,19:30,11.9,024,11.9,17.5,00.0,1014.0,3.00,0.00,0.00,0.00,0.0
21/07/2011,19:35,10.1,015,11.2,17.4,00.0,1014.0,2.88,0.00,0.00,0.00,0.0
21/07/2011,19:40,10.0,038,10.6,17.4,00.0,1014.0,2.77,0.00,0.00,0.00,0.0
21/07/2011,19:45,09.8,016,11.1,17.5,00.0,1014.0,2.66,0.00,0.00,0.00,0.0
21/07/2011,19:50,09.8,041,11.8,17.4,00.0,1014.0,2.53,0.00,0.00,0.00,0.0
21/07/2011,19:55,10.0,030,10.9,17.3,00.0,1014.0,2.41,0.00,0.00,0.00,0.0
21/07/2011,20:00,09.1,053,10.1,17.3,00.0,1014.0,2.31,0.00,0.00,0.00,0.0
21/07/2011,20:05,09.1,010,11.0,17.3,00.0,1014.0,2.20,0.00,0.00,0.00,0.0
21/07/2011,20:10,10.0,023,10.9,17.1,00.0,1014.0,2.10,0.00,0.00,0.00,0.0
21/07/2011,20:15,09.1,026,10.1,17.1,00.0,1014.0,2.01,0.00,0.00,0.00,0.0
21/07/2011,20:20,08.6,021,10.0,17.1,00.0,1014.0,1.92,0.00,0.00,0.00,0.0
21/07/2011,20:25,08.4,013,09.7,17.2,00.0,1014.0,1.84,0.00,0.00,0.00,0.0
21/07/2011,20:30,08.8,041,10.0,17.0,00.0,1014.0,1.76,0.00,0.00,0.00,0.0
