DATE,TIME,WSPD,WD,GST,ATMP,WTMP,BARO,DEPTH,AWVHT,MWVHT,WVHT,APD
14/07/2011,02:20,02.5,325,02.9,14.1,00.0,1020.0,3.14,0.00,0.00,0.00,0.0
14/07/2011,02:25,02.5,334,02.7,14.4,00.0,1020.0,3.02,0.00,0.00,0.00,0.0
14/07/2011,02:30,02.9,341,03.3,14.1,00.0,1020.0,2.90,0.00,0.00,0.00,0.0
14/07/2011,02:35,03.3,351,04.4,13.8,00.0,1020.0,2.78,0.00,0.00,0.00,0.0
14/07/2011,02:40,03.2,325,03.3,14.2,00.0,1020.0,2.65,0.00,0.00,0.00,0.0
14/07/2011,02:45,03.6,292,04.4,13.6,00.0,1020.0,2.54,0.00,0.00,0.00,0.0
14/07/2011,02:50,04.2,277,04.6,13.7,00.0,1020.0,2.40,0.00,0.00,0.00,0.0
14/07/2011,02:55,04.3,284,04.9,13.7,00.0,1020.0,2.29,0.00,0.00,0.00,0.0
14/07/2011,03:00,04.3,291,04.6,13.5,00.0,1020.0,2.14,0.00,0.00,0.00,0.0
14/07/2011,03:05,04.3,293,04.8,13.6,00.0,1020.0,2.02,0.00,0.00,0.00,0.0
14/07/2011,03:10,04.4,288,04.9,12.9,00.0,1020.0,1.90,0.00,0.00,0.00,0.0
14/07/2011,03:15,04.2,282,05.1,13.2,00.0,1020.0,1.78,0.00,0.00,0.00,0.0
14/07/2011,03:20,05.7,291,06.8,13.2,00.0,1020.0,1.67,0.00,0.00,0.00,0.0
14/07/2011,03:25,05.6,293,06.7,13.2,00.0,1019.0,1.56,0.00,0.00,0.00,0.0
14/07/2011,03:30,06.1,293,06.3,13.0,00.0,1019.0,1.47,0.00,0.00,0.00,0.0
14/07/2011,03:35,06.1,298,06.4,12.9,00.0,1019.0,1.38,0.00,0.00,0.00,0.0
14/07/2011,03:40,06.2,298,06.6,12.8,00.0,1019.0,1.30,0.00,0.00,0.00,0.0
14/07/2011,03:45,06.6,305,06.7,12.7,00.0,1019.0,1.22,0.00,0.00,0.00,0.0
14/07/2011,03:50,06.4,307,06.7,12.5,00.0,1019.0,1.15,0.00,0.00,0.00,0.0
14/07/2011,03:55,06.4,293,07.2,12.6,00.0,1019.0,1.10,0.00,0.00,0.00,0.0
14/07/2011,04:00,06.7,295,07.2,11.9,00.0,1019.0,1.05,0.00,0.00,0.00,0.0
14/07/2011,04:05,06.8,289,07.1,11.9,00.0,1019.0,1.00,0.00,0.00,0.00,0.0
14/07/2011,04:10,06.3,294,06.4,12.0,00.0,1019.0,.97,0.00,0.00,0.00,0.0
14/07/2011,04:15,06.9,321,07.9,12.0,00.0,1019.0,.94,0.00,0.00,0.00,0.0
14/07/2011,04:20,06.0,340,05.7,11.9,00.0,1019.0,.92,0.00,0.00,0.00,0.0
14/07/2011,04:25,04.8,312,04.8,11.8,00.0,1019.0,.91,0.00,0.00,0.00,0.0
14/07/2011,04:30,05.0,316,05.7,11.4,00.0,1019.0,.91,0.00,0.00,0.00,0.0
14/07/2011,04:35,05.3,332,06.8,11.4,00.0,1019.0,.92,0.00,0.00,0.00,0.0
14/07/2011,04:40,06.1,340,06.9,11.5,00.0,1020.0,.94,0.00,0.00,0.00,0.0
14/07/2011,04:45,06.6,009,07.3,11.4,00.0,1020.0,.97,0.00,0.00,0.00,0.0
14/07/2011,04:50,05.9,360,07.8,11.4,00.0,1019.0,1.01,0.00,0.00,0.00,0.0
14/07/2011,04:55,05.2,001,06.3,11.5,00.0,1019.0,1.06,0.00,0.00,0.00,0.0
14/07/2011,05:00,05.2,342,05.3,11.4,00.0,1020.0,1.11,0.00,0.00,0.00,0.0
14/07/2011,05:05,03.9,329,04.6,11.4,00.0,1020.0,1.16,0.00,0.00,0.00,0.0
14/07/2011,05:10,03.3,336,03.7,11.5,00.0,1020.0,1.23,0.00,0.00,0.00,0.0
14/07/2011,05:15,02.0,330,02.8,11.6,00.0,1019.0,1.29,0.00,0.00,0.00,0.0
14/07/2011,05:20,02.7,357,03.8,11.7,00.0,1019.0,1.37,0.00,0.00,0.00,0.0
14/07/2011,05:25,02.9,317,03.6,11.7,00.0,1019.0,1.44,0.00,0.00,0.00,0.0
14/07/2011,05:30,03.5,335,04.8,11.5,00.0,1019.0,1.50,0.00,0.00,0.00,0.0
14/07/2011,05:35,05.1,330,05.7,11.2,00.0,1019.0,1.55,0.00,0.00,0.00,0.0
14/07/2011,05:40,04.7,321,05.0,11.3,00.0,1019.0,1.62,0.00,0.00,0.00,0.0
14/07/2011,05:45,04.7,323,05.2,11.1,00.0,1019.0,1.67,0.00,0.00,0.00,0.0
14/07/2011,05:50,04.3,331,05.0,11.1,00.0,1019.0,1.74,0.00,0.00,0.00,0.0
14/07/2011,05:55,04.2,307,06.5,11.4,00.0,1019.0,1.78,0.00,0.00,0.00,0.0
14/07/2011,06:00,04.6,313,06.4,11.1,00.0,1019.0,1.83,0.00,0.00,0.00,0.0
14/07/2011,06:05,04.8,311,05.5,10.7,00.0,1019.0,1.87,0.00,0.00,0.00,0.0
14/07/2011,06:10,05.3,316,05.9,10.7,00.0,1019.0,1.91,0.00,0.00,0.00,0.0
14/07/2011,06:15,05.0,295,05.6,10.8,00.0,1019.0,1.93,0.00,0.00,0.00,0.0
14/07/2011,06:20,04.7,301,05.9,10.8,00.0,1019.0,1.97,0.00,0.00,0.00,0.0
14/07/2011,06:25,04.5,288,06.1,11.1,00.0,1019.0,1.98,0.00,0.00,0.00,0.0
14/07/2011,06:30,05.5,313,06.3,11.0,00.0,1019.0,2.00,0.00,0.00,0.00,0.0
