DATE,TIME,WSPD,WD,GST,ATMP,WTMP,BARO,DEPTH,AWVHT,MWVHT,WVHT,APD
23/07/2011,16:20,06.7,273,11.9,19.0,00.0,1013.0,3.90,0.00,0.00,0.00,0.0
23/07/2011,16:25,07.7,273,12.7,18.9,00.0,1013.0,3.93,0.00,0.00,0.00,0.0
23/07/2011,16:30,10.4,309,15.7,19.1,00.0,1013.0,3.96,0.00,0.00,0.00,0.0
23/07/2011,16:35,10.3,284,12.6,19.7,00.0,1013.0,3.99,0.00,0.00,0.00,0.0
23/07/2011,16:40,11.0,305,14.2,20.0,00.0,1013.0,4.01,0.00,0.00,0.00,0.0
23/07/2011,16:45,11.4,308,11.3,20.1,00.0,1013.0,4.03,0.00,0.00,0.00,0.0
23/07/2011,16:50,08.7,277,14.7,20.4,00.0,1013.0,4.06,0.00,0.00,0.00,0.0
23/07/2011,16:55,07.3,283,09.8,20.5,00.0,1013.0,4.09,0.00,0.00,0.00,0.0
23/07/2011,17:00,09.9,279,14.7,20.6,00.0,1013.0,4.09,0.00,0.00,0.00,0.0
23/07/2011,17:05,09.7,284,14.0,20.5,00.0,1013.0,4.11,0.00,0.00,0.00,0.0
23/07/2011,17:10,09.2,290,15.5,20.5,00.0,1013.0,4.13,0.00,0.00,0.00,0.0
23/07/2011,17:15,10.0,269,19.0,20.7,00.0,1013.0,4.15,0.00,0.00,0.00,0.0
23/07/2011,17:20,16.2,298,20.1,20.5,00.0,1013.0,4.15,0.00,0.00,0.00,0.0
23/07/2011,17:25,16.7,312,16.1,20.0,00.0,1013.0,4.17,0.00,0.00,0.00,0.0
23/07/2011,17:30,12.8,279,13.4,20.5,00.0,1013.0,4.18,0.00,0.00,0.00,0.0
23/07/2011,17:35,10.0,299,19.3,20.4,00.0,1013.0,4.19,0.00,0.00,0.00,0.0
23/07/2011,17:40,12.0,308,19.5,20.5,00.0,1013.0,4.21,0.00,0.00,0.00,0.0
23/07/2011,17:45,20.1,311,22.5,20.0,00.0,1013.0,4.21,0.00,0.00,0.00,0.0
23/07/2011,17:50,17.5,299,17.5,20.1,00.0,1013.0,4.23,0.00,0.00,0.00,0.0
23/07/2011,17:55,14.3,303,17.1,20.0,00.0,1013.0,4.23,0.00,0.00,0.00,0.0
23/07/2011,18:00,15.8,301,15.1,19.9,00.0,1013.0,4.23,0.00,0.00,0.00,0.0
23/07/2011,18:05,13.8,297,15.7,20.1,00.0,1013.0,4.25,0.00,0.00,0.00,0.0
23/07/2011,18:10,11.8,316,16.9,20.2,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
23/07/2011,18:15,12.6,301,16.5,20.5,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
23/07/2011,18:20,12.4,283,15.7,20.4,00.0,1013.0,4.27,0.00,0.00,0.00,0.0
23/07/2011,18:25,10.5,278,17.4,20.4,00.0,1012.3,4.27,0.00,0.00,0.00,0.0
23/07/2011,18:30,09.0,289,16.9,20.5,00.0,1012.0,4.25,0.00,0.00,0.00,0.0
23/07/2011,18:35,10.4,272,18.5,20.4,00.0,1012.0,4.25,0.00,0.00,0.00,0.0
23/07/2011,18:40,08.8,279,18.1,20.4,00.0,1012.0,4.25,0.00,0.00,0.00,0.0
23/07/2011,18:45,13.4,272,20.0,20.2,00.0,1012.0,4.24,0.00,0.00,0.00,0.0
23/07/2011,18:50,11.2,272,21.9,20.1,00.0,1012.0,4.22,0.00,0.00,0.00,0.0
23/07/2011,18:55,13.7,278,17.7,19.9,00.0,1012.0,4.20,0.00,0.00,0.00,0.0
23/07/2011,19:00,10.6,285,16.6,19.9,00.0,1012.0,4.18,0.00,0.00,0.00,0.0
23/07/2011,19:05,12.8,274,17.0,19.8,00.0,1012.0,4.15,0.00,0.00,0.00,0.0
23/07/2011,19:10,12.6,272,21.0,19.8,00.0,1012.0,4.13,0.00,0.00,0.00,0.0
23/07/2011,19:15,12.2,276,19.4,19.6,00.0,1012.0,4.12,0.00,0.00,0.00,0.0
23/07/2011,19:20,14.5,291,20.5,19.5,00.0,1012.0,4.08,0.00,0.00,0.00,0.0
23/07/2011,19:25,15.7,286,20.3,19.1,00.0,1012.0,4.04,0.00,0.00,0.00,0.0
23/07/2011,19:30,14.6,287,18.6,18.8,00.0,1012.0,4.02,0.00,0.00,0.00,0.0
23/07/2011,19:35,15.0,284,20.7,18.5,00.0,1013.0,3.99,0.00,0.00,0.00,0.0
23/07/2011,19:40,14.8,277,15.9,18.5,00.0,1013.0,3.94,0.00,0.00,0.00,0.0
23/07/2011,19:45,11.0,281,14.1,18.5,00.0,1013.0,3.92,0.00,0.00,0.00,0.0
23/07/2011,19:50,10.9,271,16.9,18.5,00.0,1012.3,3.86,0.00,0.00,0.00,0.0
23/07/2011,19:55,17.9,285,22.9,18.4,00.0,1012.0,3.83,0.00,0.00,0.00,0.0
23/07/2011,20:00,15.2,284,18.0,18.3,00.0,1012.0,3.77,0.00,0.00,0.00,0.0
23/07/2011,20:05,17.4,275,20.0,18.2,00.0,1012.0,3.73,0.00,0.00,0.00,0.0
23/07/2011,20:10,14.9,274,19.8,18.0,00.0,1012.0,3.67,0.00,0.00,0.00,0.0
23/07/2011,20:15,11.9,281,15.6,17.8,00.0,1012.3,3.61,0.00,0.00,0.00,0.0
23/07/2011,20:20,11.6,280,15.5,17.7,00.0,1012.3,3.55,0.00,0.00,0.00,0.0
23/07/2011,20:25,14.1,270,15.3,17.7,00.0,1012.0,3.49,0.00,0.00,0.00,0.0
23/07/2011,20:30,13.2,278,18.5,17.3,00.0,1012.4,3.41,0.00,0.00,0.00,0.0
23/07/2011,20:35,15.4,279,17.9,17.2,00.0,1013.0,3.33,0.00,0.00,0.00,0.0
23/07/2011,20:40,15.9,278,17.6,17.0,00.0,1013.0,3.24,0.00,0.00,0.00,0.0
23/07/2011,20:45,13.1,281,15.0,16.9,00.0,1013.0,3.17,0.00,0.00,0.00,0.0
23/07/2011,20:50,10.2,275,14.7,16.8,00.0,1013.0,3.09,0.00,0.00,0.00,0.0
23/07/2011,20:55,10.9,283,16.4,16.7,00.0,1013.0,3.00,0.00,0.00,0.00,0.0
23/07/2011,21:00,12.5,279,16.1,16.5,00.0,1013.0,2.92,0.00,0.00,0.00,0.0
23/07/2011,21:05,10.8,274,14.5,16.4,00.0,1013.0,2.84,0.00,0.00,0.00,0.0
23/07/2011,21:10,10.8,279,15.1,16.3,00.0,1013.0,2.76,0.00,0.00,0.00,0.0
23/07/2011,21:15,10.4,281,15.1,16.1,00.0,1013.0,2.69,0.00,0.00,0.00,0.0
23/07/2011,21:20,09.8,277,16.5,16.0,00.0,1013.0,2.61,0.00,0.00,0.00,0.0
23/07/2011,21:25,13.1,281,15.5,15.9,00.0,1013.0,2.54,0.00,0.00,0.00,0.0
23/07/2011,21:30,14.3,282,15.2,15.8,00.0,1013.0,2.47,0.00,0.00,0.00,0.0
23/07/2011,21:35,14.4,281,18.0,15.7,00.0,1013.0,2.41,0.00,0.00,0.00,0.0
23/07/2011,21:40,14.4,279,18.1,15.6,00.0,1013.0,2.36,0.00,0.00,0.00,0.0
23/07/2011,21:45,13.5,284,15.8,15.5,00.0,1013.0,2.32,0.00,0.00,0.00,0.0
23/07/2011,21:50,13.3,285,18.0,15.4,00.0,1013.0,2.27,0.00,0.00,0.00,0.0
23/07/2011,21:55,15.1,282,19.7,15.3,00.0,1013.0,2.23,0.00,0.00,0.00,0.0
23/07/2011,22:00,14.7,279,17.3,15.3,00.0,1013.0,2.20,0.00,0.00,0.00,0.0
23/07/2011,22:05,16.1,278,17.9,15.2,00.0,1013.0,2.17,0.00,0.00,0.00,0.0
23/07/2011,22:10,16.1,280,18.4,15.1,00.0,1013.0,2.15,0.00,0.00,0.00,0.0
23/07/2011,22:15,15.2,284,16.1,15.1,00.0,1013.0,2.13,0.00,0.00,0.00,0.0
23/07/2011,22:20,15.4,286,18.0,14.9,00.0,1013.0,2.11,0.00,0.00,0.00,0.0
