DATE,TIME,WSPD,WD,GST,ATMP,WTMP,BARO,DEPTH,AWVHT,MWVHT,WVHT,APD
04/07/2011,16:20,11.5,119,12.1,24.1,00.0,1017.0,4.33,0.00,0.00,0.00,0.0
04/07/2011,16:25,11.5,126,12.1,23.9,00.0,1016.0,4.31,0.00,0.00,0.00,0.0
04/07/2011,16:30,11.8,123,12.2,24.1,00.0,1016.0,4.29,0.00,0.00,0.00,0.0
04/07/2011,16:35,12.0,119,12.1,24.3,00.0,1016.0,4.25,0.00,0.00,0.00,0.0
04/07/2011,16:40,11.8,123,13.2,24.3,00.0,1016.0,4.22,0.00,0.00,0.00,0.0
04/07/2011,16:45,12.5,118,13.6,24.5,00.0,1016.0,4.18,0.00,0.00,0.00,0.0
04/07/2011,16:50,12.8,120,13.7,24.3,00.0,1016.0,4.14,0.00,0.00,0.00,0.0
04/07/2011,16:55,12.7,117,13.7,24.3,00.0,1016.0,4.08,0.00,0.00,0.00,0.0
04/07/2011,17:00,13.3,117,13.5,24.3,00.0,1016.0,4.02,0.00,0.00,0.00,0.0
04/07/2011,17:05,13.4,121,13.4,24.0,00.0,1016.0,3.96,0.00,0.00,0.00,0.0
04/07/2011,17:10,13.0,118,13.9,23.7,00.0,1016.0,3.87,0.00,0.00,0.00,0.0
04/07/2011,17:15,14.1,117,15.1,23.7,00.0,1016.0,3.78,0.00,0.00,0.00,0.0
04/07/2011,17:20,14.6,118,15.6,23.6,00.0,1016.0,3.68,0.00,0.00,0.00,0.0
04/07/2011,17:25,14.5,119,14.8,23.7,00.0,1016.0,3.58,0.00,0.00,0.00,0.0
04/07/2011,17:30,14.4,122,14.7,23.7,00.0,1016.0,3.45,0.00,0.00,0.00,0.0
04/07/2011,17:35,14.7,126,15.3,23.5,00.0,1016.0,3.32,0.00,0.00,0.00,0.0
04/07/2011,17:40,14.0,126,15.3,23.3,00.0,1016.0,3.20,0.00,0.00,0.00,0.0
04/07/2011,17:45,14.2,125,14.9,23.3,00.0,1016.0,3.05,0.00,0.00,0.00,0.0
04/07/2011,17:50,13.8,125,14.3,23.0,00.0,1016.0,2.90,0.00,0.00,0.00,0.0
04/07/2011,17:55,13.4,123,13.4,23.2,00.0,1016.0,2.75,0.00,0.00,0.00,0.0
04/07/2011,18:00,12.3,121,12.9,23.1,00.0,1016.0,2.60,0.00,0.00,0.00,0.0
04/07/2011,18:05,12.1,118,12.7,22.9,00.0,1016.0,2.45,0.00,0.00,0.00,0.0
04/07/2011,18:10,12.3,122,13.5,22.8,00.0,1016.0,2.30,0.00,0.00,0.00,0.0
04/07/2011,18:15,12.5,117,13.4,22.7,00.0,1016.0,2.15,0.00,0.00,0.00,0.0
04/07/2011,18:20,12.4,121,13.2,22.7,00.0,1016.0,2.01,0.00,0.00,0.00,0.0
04/07/2011,18:25,11.9,117,12.5,22.7,00.0,1016.0,1.87,0.00,0.00,0.00,0.0
04/07/2011,18:30,12.2,121,12.6,22.7,00.0,1016.0,1.73,0.00,0.00,0.00,0.0
04/07/2011,18:35,11.1,124,11.2,22.5,00.0,1016.0,1.59,0.00,0.00,0.00,0.0
04/07/2011,18:40,11.0,127,12.1,22.3,00.0,1016.0,1.49,0.00,0.00,0.00,0.0
